Year,Average Global Temperature,Moving Av. Global Temperature,Diff from previous year,"Wellington, NZ","Moving Av - Wellington, NZ",Diff from previous year,Temperature Increase - Diff,National Weather Trends,
1939,8.76,8.37212766,0.01787234,12.51,12.42191489,0.029787234,0.01,,
1940,8.76,8.386808511,0.014680851,12.39,12.41914894,-0.002765957,-0.02,,
1941,8.77,8.401702128,0.014893617,12.4,12.40744681,-0.011702128,-0.03,,
1942,8.73,8.414680851,0.012978723,12.79,12.40148936,-0.005957447,-0.02,,
1943,8.76,8.427021277,0.012340426,12.55,12.41468085,0.013191489,0.00,,
1944,8.85,8.438723404,0.011702128,12.63,12.4206383,0.005957447,-0.01,,
1945,8.58,8.450638298,0.011914894,12.35,12.42638298,0.005744681,-0.01,,
1946,8.68,8.459148936,0.008510638,12.63,12.43148936,0.005106383,0.00,,
1947,8.8,8.465106383,0.005957447,12.73,12.44531915,0.013829787,0.01,,
1948,8.75,8.471489362,0.006382979,13.1,12.45595745,0.010638298,0.00,,
1949,8.59,8.475957447,0.004468085,12.72,12.47744681,0.021489362,0.02,,
1950,8.37,8.48212766,0.006170213,12.83,12.50170213,0.024255319,0.02,,
1951,8.63,8.485319149,0.003191489,12.36,12.5187234,0.017021277,0.01,,
1952,8.64,8.496808511,0.011489362,12.75,12.52893617,0.010212766,0.00,,
1953,8.87,8.505531915,0.008723404,12.68,12.54680851,0.01787234,0.01,,
1954,8.56,8.515957447,0.010425532,13.06,12.56851064,0.021702128,0.01,,
1955,8.63,8.52893617,0.012978723,13.23,12.5812766,0.012765957,0.00,,
1956,8.28,8.538297872,0.009361702,13.48,12.60595745,0.024680851,0.02,,
1957,8.73,8.540425532,0.00212766,13.17,12.62297872,0.017021277,0.01,,
1958,8.77,8.551276596,0.010851064,13.04,12.63085106,0.00787234,0.00,,
1959,8.73,8.563829787,0.012553191,12.71,12.64170213,0.010851064,0.00,,
1960,8.58,8.575744681,0.011914894,12.85,12.65723404,0.015531915,0.00,,
1961,8.8,8.581702128,0.005957447,12.8,12.66914894,0.011914894,0.01,,
1962,8.75,8.586170213,0.004468085,13.57,12.6787234,0.009574468,0.01,,
1963,8.86,8.589574468,0.003404255,12.69,12.69957447,0.020851064,0.02,,
1964,8.41,8.602978723,0.013404255,12.81,12.68680851,-0.012765957,-0.03,,
1965,8.53,8.611276596,0.008297872,12.49,12.68361702,-0.003191489,-0.01,,
1966,8.6,8.619787234,0.008510638,12.55,12.68702128,0.003404255,-0.01,,
1967,8.7,8.624468085,0.004680851,12.78,12.69510638,0.008085106,0.00,,
1968,8.52,8.631702128,0.007234043,12.9,12.70702128,0.011914894,0.00,,
1969,8.6,8.630638298,-0.00106383,12.71,12.71510638,0.008085106,0.01,,
1970,8.7,8.634680851,0.004042553,13.52,12.71638298,0.001276596,0.00,,
1971,8.6,8.640638298,0.005957447,13.53,12.73957447,0.023191489,0.02,,
1972,8.5,8.642553191,0.001914894,12.73,12.74808511,0.008510638,0.01,,
1973,8.95,8.641914894,-0.000638298,13.22,12.7606383,0.012553191,0.01,,
1974,8.47,8.646595745,0.004680851,13.28,12.78085106,0.020212766,0.02,,
1975,8.74,8.645531915,-0.00106383,13.32,12.79680851,0.015957447,0.02,,
1976,8.35,8.64787234,0.002340426,12.31,12.79893617,0.00212766,0.00,,
1977,8.85,8.650212766,0.002340426,12.21,12.79553191,-0.003404255,-0.01,,
1978,8.69,8.654893617,0.004680851,13.19,12.80319149,0.007659574,0.00,,
1979,8.73,8.654255319,-0.000638298,13.16,12.82787234,0.024680851,0.03,,
1980,8.98,8.654680851,0.000425532,12.82,12.84765957,0.019787234,0.02,,
1981,9.17,8.668297872,0.013617021,13.4,12.84893617,0.001276596,-0.01,,
1982,8.64,8.679787234,0.011489362,12.61,12.86085106,0.011914894,0.00,,
1983,9.03,8.682340426,0.002553191,12.65,12.84978723,-0.01106383,-0.01,,
1984,8.69,8.692553191,0.010212766,13.29,12.85212766,0.002340426,-0.01,,
1985,8.66,8.692340426,-0.000212766,13.26,12.87276596,0.020638298,0.02,,
1986,8.83,8.688085106,-0.004255319,13.16,12.86723404,-0.005531915,0.00,,
1987,8.99,8.689574468,0.001489362,13.27,12.88106383,0.013829787,0.01,,
1988,9.2,8.694468085,0.004893617,13.35,12.89978723,0.018723404,0.01,,
1989,8.92,8.703617021,0.009148936,13.56,12.92,0.020212766,0.01,,
1990,9.23,8.707659574,0.004042553,13.64,12.93638298,0.016382979,0.01,,
1991,9.18,8.717659574,0.01,12.82,12.95957447,0.023191489,0.01,,
1992,8.84,8.724680851,0.007021277,12.14,12.96361702,0.004042553,0.00,,
1993,8.87,8.730212766,0.005531915,12.35,12.95914894,-0.004468085,-0.01,,
1994,9.04,8.734255319,0.004042553,12.89,12.95319149,-0.005957447,-0.01,,
1995,9.35,8.739361702,0.005106383,13.15,12.95659574,0.003404255,0.00,,
1996,9.04,8.75212766,0.012765957,13.07,12.95765957,0.00106383,-0.01,,
1997,9.2,8.761702128,0.009574468,12.77,12.96510638,0.007446809,0.00,,
1998,9.52,8.779361702,0.017659574,13.97,12.96382979,-0.001276596,-0.02,,
1999,9.29,8.798297872,0.01893617,13.87,12.99808511,0.034255319,0.02,,
2000,9.2,8.81212766,0.013829787,13.4,13.02191489,0.023829787,0.01,,
2001,9.41,8.819148936,0.007021277,13.58,13.03723404,0.015319149,0.01,,
2002,9.57,8.837234043,0.018085106,13.28,13.04829787,0.01106383,-0.01,,
2003,9.53,8.857234043,0.02,13.3,13.0493617,0.00106383,-0.02,,
2004,9.32,8.883829787,0.026595745,12.76,13.04553191,-0.003829787,-0.03,,
2005,9.7,8.896382979,0.012553191,13.63,13.03680851,-0.008723404,-0.02,,
2006,9.53,8.916170213,0.019787234,13.04,13.0493617,0.012553191,-0.01,,
2007,9.73,8.933191489,0.017021277,13.44,13.05638298,0.007021277,-0.01,,
2008,9.43,8.957659574,0.024468085,13.55,13.06893617,0.012553191,-0.01,,
2009,9.51,8.97106383,0.013404255,12.84,13.08489362,0.015957447,0.00,,
2010,9.7,8.987234043,0.016170213,13.54,13.0693617,-0.015531915,-0.03,,
2011,9.52,9.005106383,0.01787234,13.46,13.08744681,0.018085106,0.00,,
2012,9.51,9.028723404,0.023617021,12.89,13.1012766,0.013829787,-0.01,,
2013,9.61,9.049574468,0.020851064,13.57,13.10978723,0.008510638,-0.01,,
2014,9.57,,,Not Available,,,,,
2015,9.83,,,Not Available,,,,,
